id,Author,LastName,Initial
Au0001,"Abraham, MH",Abraham, MH
Au0002,"Acree, WE",Acree, WE
Au0003,"Anliker, R",Anliker, R
Au0004,"Arai, Y",Arai, Y
Au0005,"Arey, JS",Arey, JS
Au0006,"Autenrieth, R",Autenrieth, R
Au0007,"Ballschmiter, K",Ballschmiter, K
Au0008,"Baskaran, S",Baskaran, S
Au0009,"Batterman, S",Batterman, S
Au0010,"Battino, R",Battino, R
Au0011,"Beerbower, A",Beerbower, A
Au0012,"Bernazzani, L",Bernazzani, L
Au0013,"Berti, P",Berti, P
Au0014,"Best, SA",Best, SA
Au0015,"Bhatia, SR",Bhatia, SR
Au0016,"Bidleman, TF",Bidleman, TF
Au0017,"Bircher, LJ",Bircher, LJ
Au0018,"Blanchard, P",Blanchard, P
Au0019,"Bo, S",Bo, S
Au0020,"Bobra, A",Bobra, A
Au0021,"Bonnell, M",Bonnell, M
Au0022,"Boyer, FL",Boyer, FL
Au0023,"Bronner, G",Bronner, G
Au0024,"Buchmann, M",Buchmann, M
Au0025,"Bush, D",Bush, D
Au0026,"Cabani, S",Cabani, S
Au0027,"Cai, X",Cai, X
Au0028,"Campbell, SW",Campbell, SW
Au0029,"Cao, Y",Cao, Y
Au0030,"Carr, PW",Carr, PW
Au0031,"Castells, CB",Castells, CB
Au0032,"Cetin, B",Cetin, B
Au0033,"Cetin, E",Cetin, E
Au0034,Chayawan,Chayawan,
Au0035,"Chen, J",Chen, J
Au0036,"Chen, JW",Chen, JW
Au0037,"Chen, S",Chen, S
Au0038,"Chen, Y",Chen, Y
Au0039,"Cheong, WJ",Cheong, WJ
Au0040,"Chiappero, MS",Chiappero, MS
Au0041,"Chiou, CT",Chiou, CT
Au0042,"Choi, SD",Choi, SD
Au0043,"Chortkoff, BS",Chortkoff, BS
Au0044,"Claycomb, RJ",Claycomb, RJ
Au0045,"Conti, G",Conti, G
Au0046,"Couasnon, P",Couasnon, P
Au0047,"Cousins, I",Cousins, I
Au0048,"Coym, KS",Coym, KS
Au0049,"Cramer, CJ",Cramer, CJ
Au0050,"Dallas, AJ",Dallas, AJ
Au0051,"Daly, GL",Daly, GL
Au0052,"Danforth, WF",Danforth, WF
Au0053,"Dannenfelser, R-M.",Dannenfelser, R-M.
Au0054,"De Fina, KM",De Fina, KM
Au0055,"Deal, CH",Deal, CH
Au0056,"Derr, EL",Derr, EL
Au0057,"D'Hondt, C",D'Hondt, C
Au0058,"Diamond, ML",Diamond, ML
Au0059,"Diamons, ML",Diamons, ML
Au0060,"Dim, A",Dim, A
Au0061,"Dimitriou-Christidis, P",Dimitriou-Christidis, P
Au0062,"Ding, G",Ding, G
Au0063,"Dohnal, V",Dohnal, V
Au0064,"Dreyer, A",Dreyer, A
Au0065,"Duffy, EM",Duffy, EM
Au0066,"Dumanoglu, Y",Dumanoglu, Y
Au0067,"Ebinghaus, R",Ebinghaus, R
Au0068,"Eckert, CA",Eckert, CA
Au0069,"Eger, E",Eger, E
Au0070,"Eikens, DI",Eikens, DI
Au0071,"Ellgehausen, H",Ellgehausen, H
Au0072,"Enyeart, JJ",Enyeart, JJ
Au0073,"Falandysz, J",Falandysz, J
