id,Category,Ambiguity,Cas_No,CAS,Chemical_Formula,Molar_Mass,Chemical_Name,IUPAC_name,Alt_Chem_Name,Acronym,Alt_Acronym,INCHIKEY,DTXSID,DTXCID,SMILES,SMILES_CAN,INCHI_STRING,Note
chem0001,DDT,NA,50-29-3,50293,C14H9Cl5,354.48,Dichlorodiphenyltrichloroethane,"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)","1,1'-(2,2,2-trichloroethylidene)bis 4-chlorobenzene","p,p'-DDT",DDT,YVGGHNCTFXOJCH-UHFFFAOYSA-N,DTXSID4020375,DTXCID20375,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",NA
chem0002,PAH,NA,50-32-8,50328,C20H12,252.316,Benzo[a]pyrene,Benzo[pqr]tetraphene,Benzo(a)pyrene,NA,NA,FMMWHPNWAFZXNH-UHFFFAOYSA-N,DTXSID2020139,DTXCID40139,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3,InChI=1S/C20H12/c1-2-7-17-15(4-1)12-16-9-8-13-5-3-6-14-10-11-18(17)20(16)19(13)14/h1-12H,NA
chem0003,DDT,NA,53-19-0,53190,C14H10Cl4,320.03,"o,p'-DDD","1-Chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene",NA,"o,p'-DDD","2,4'-DDD",JWBOIMRXGHLCPP-UHFFFAOYSA-N,DTXSID9020372,DTXCID30372,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,ClC(C(c1ccccc1Cl)c1ccc(cc1)Cl)Cl,"InChI=1/C14H10Cl4/c15-10-7-5-9(6-8-10)13(14(17)18)11-3-1-2-4-12(11)16/h1-8,13-14H",NA
chem0004,PAH,NA,53-70-3,53703,C22H14,278.354,"Dibenz[a,h]anthracene",Benzo[k]tetraphene,"1,2:5,6-Dibenzanthracene",NA,NA,LHRCREOYAASXPZ-UHFFFAOYSA-N,DTXSID9020409,DTXCID10409,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,c1ccc2c(c1)c1cc3ccc4c(c3cc1cc2)cccc4,InChI=1S/C22H14/c1-3-7-19-15(5-1)9-11-17-14-22-18(13-21(17)19)12-10-16-6-2-4-8-20(16)22/h1-14H,NA
chem0005,Haloalkane,NA,56-23-5,56235,CCl4,153.81,Carbon tetrachloride,Tetrachloromethane,NA,NA,NA,VZGDMQKNWNREIO-UHFFFAOYSA-N,DTXSID8020250,DTXCID20250,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,"InChI=1S/CCl4/c2-1(3,4)5",NA
chem0006,PAH,NA,56-55-3,56553,C18H12,228.294,Benz[a]anthracene,Tetraphene,NA,NA,NA,DXBHBZVCASKNBY-UHFFFAOYSA-N,DTXSID5023902,DTXCID903902,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2,c1ccc2c(c1)cc1c(c2)ccc2c1cccc2,InChI=1S/C18H12/c1-2-7-15-12-18-16(11-14(15)6-1)10-9-13-5-3-4-8-17(13)18/h1-12H,NA
chem0007,HCH,NA,58-89-9,58899,C6H6Cl6,290.81,Lindane,"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane",?-Hexachlorocyclohexane,?-HCH,g-HCH,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,DTXSID2020686,DTXCID40196532,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H]([C@@H]([C@H]1Cl)Cl)Cl,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@@H]([C@@H]([C@H]1Cl)Cl)Cl,"InChI=1/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",NA
chem0008,Ether,NA,60-29-7,60297,C4H10O,74.123,Ethyl ether,Diethyl ether,NA,NA,NA,RTZKZFJDLAIYFH-UHFFFAOYSA-N,DTXSID3021720,DTXCID101720,CCOCC,CCOCC,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",NA
chem0009,Alcohol,NA,64-17-5,64175,C2H6O,46.069,Ethanol,Ethanol,NA,NA,NA,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,DTXSID9020584,DTXCID30584,CCO,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",NA
chem0010,Carboxylic Acid,NA,64-19-7,64197,C2H4O2,60.052,Acetic acid,Acetic acid,NA,NA,NA,QTBSBXVTEAMEQO-UHFFFAOYSA-N,DTXSID5024394,DTXCID304394,CC(O)=O,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",NA
