id,chemID,Temp,KOA,KOA_Error,log_KOA,log_KOA_error,Error_Type,methID,Reliability,Comment
data000001,chem0001,-10,NA,NA,11.83422053,0.996586,r2 of the linear regression - SD between 5-10%,meth0001,NA,NA
data000002,chem0001,0,NA,NA,11.28351648,0.996586,r2 of the linear regression - SD between 50%,meth0001,NA,NA
data000003,chem0001,10,NA,NA,10.77173145,0.996586,r2 of the linear regression - SD between 50%,meth0001,NA,NA
data000004,chem0001,10,NA,NA,10.97,NA,NA,meth0027,NA,NA
data000005,chem0001,20,NA,NA,10.29488055,0.996586,r2 of the linear regression - SD between 50%,meth0001,NA,NA
data000006,chem0001,25,NA,NA,10.11,± 0.06,Std Error of Prediction,meth0022,NA,NA
data000007,chem0001,25,NA,NA,9.93,NA,NA,meth0003,NA,NA
data000008,chem0001,25,NA,NA,10.38,NA,NA,meth0027,NA,NA
data000009,chem0001,25,NA,NA,10.09,0.996586,r2 of the linear regression - SD between 5-10%,meth0001,NA,NA
data000010,chem0002,25,NA,NA,11.545,-0.835,residual,meth0012,NA,NA
data000011,chem0002,25,NA,NA,10.77,NA,NA,meth0003,NA,NA
data000012,chem0002,25,NA,NA,11.96,-0.4,difference relative to exp value reported by: Odabasi et al. 2006,meth0037,NA,NA
data000013,chem0002,25,NA,NA,10.48,"10.32, 10.60",error propogation range,meth0045,NA,NA
data000014,chem0002,25,NA,NA,11.56,0.41,propagated error,meth0033,NA,NA
data000015,chem0003,25,NA,NA,9.57,1.073,propagated error,meth0044,"chemical is too polar for methodology (Aa+Bb>0.5); A is  exp , B is  exp",NA
data000016,chem0004,25,NA,NA,13.839,0.071,residual,meth0012,NA,NA
data000017,chem0004,25,NA,NA,12.96,-0.37,difference relative to exp value reported by: Odabasi et al. 2006,meth0037,NA,NA
data000018,chem0094,25,104.2,NA,2.017867719,NA,NA,meth0122,NA,NA
data000019,chem0004,25,NA,NA,12.59,0.43,propagated error,meth0033,NA,NA
data000020,chem0005,25,340,NA,2.531478917,NA,NA,meth0006,NA,NA
data000021,chem0005,25,NA,NA,2.78,NA,NA,meth0027,NA,NA
data000022,chem0005,25,NA,NA,2.74,0.05; 0.02,difference relative to exp value reported by: Abraham et al. 2001; Hiatt 1997,meth0037,NA,NA
data000023,chem0390,25,7400,NA,3.86923172,NA,NA,meth0107,NA,NA
data000024,chem0022,25,NA,NA,2.63,-0.07,difference relative to reported exp value,meth0034,NA,NA
data000025,chem0052,25,NA,NA,3.35,-0.05,difference relative to reported exp value,meth0034,NA,NA
data000026,chem0005,25,NA,NA,2.79,NA,NA,meth0013,NA,NA
data000027,chem0005,25,570,240,2.755874856,n=6; Error is SD,NA,meth0007,NA,NA
data000028,chem0005,25,564.049329,NA,2.751317087,NA,NA,meth0070,NA,NA
data000029,chem0006,25,NA,NA,10.175,0.625,residual,meth0012,NA,NA
data000030,chem0006,25,NA,NA,9.54,NA,NA,meth0003,NA,NA
