id,refID,EXP or EST,Description,Detailed Anlaysis,Error Assessment,Score,Ranking,Type,Gen_Method,Method_Bin,Method_Type,Types_of_Compounds,wet_dry_Octanol,Value_Reported_As,Value_Type,Comments,Full_Description
meth0001,ref0001,1,1,1,1,1,4,EXP,FM,FM,Dynamic,"CBs, PCBs, DDT",dry octanol,log KOA,direct,"measured KOA at -10, 0, 10 & 20 °C  only reports KOA for 25 °C; linear equation used to calculate KOA at measured temperatures","Fugacity meter or generator column technique applied. Air is first passed through a regulator and purifier. Next the air flows through a meter long thermocoil within a water bath, and then through a flow meter. The air then moves through an octanol saturation stage and to another temperature coil in aa second water bath. The octanol saturated air then moves through a U-trap to collect excess octanol condensed due to the change in temperature. The air then moves through a column containing glass wool coated with octanol solution before passing through a 5cm long TENAX absorbent trap. The spiked octanol column contains 100 uL of octanol solution (0.1-2 g/L). Traps were analysed using a thermal desporption GC with an electron capture detector. Internal standards used to account for desorption efficiency of trap and detector sensitivity. TENAX traps calibrated with solute solutions in hexane."
meth0002,ref0002,1,1,1,1,1,4,EXP,FM,FM,Dynamic,PCBs,dry octanol,log KOA,direct,"measured KOA from -10 to +30 °C, paper only reports KOA for 20 °C; KOA at 25 °C caluclated using linear regression; data obtained via email from Tom Harner (PCBSUM Excel file)","Fugacity meter or generator column technique applied. Compressed nitrogen passed through octanol saturation stage, during which the octanol is heated to be10 degrees higher than the measurement temperature directly on a heater. The air then moves through a cooling coil in a second water bath and excess (condensed) octanol is collected in a small trap. The air then moves through the generator column containing glass wool coated with 400 uL of octanol solution (0.2-0.5 g/L). The air then passed through a C8 adsorbent trap outside of the water bath. The trap were eluted with 5 mL of 30% DCM in petroleum ether and eluted into iso-octane and blown down to 0.2-1.0 mL. an internal standard of tribromophenyl used for volume correction. Samples analysed useing gas chromatography with an electron caputre detector. Loss during blow down determined by spiking with known amount of PCBs. Loss ranged from <10 to 25 %. Reused traps by wasking with 3 mL of 2% toluene in DCM and blown down."
meth0003,ref0003,0,1,0,0,0.25,1,EST,Triangle,QSPR,EST,"CBs, PCBs, DDT, PAHs, HCH",wet octanol,log KOA,direct,NA,Calculated from the KOW and KAW
meth0004,ref0004,1,1,1,0,0.75,3,EXP,FM,FM,Dynamic,PCBs,dry octanol,KOA,direct,"measured KOA at 10, 13, 24, 35, 43 & 10  °C again, only reports KOA for 25 °C; linear equation used to determine KOA for measured temperatures","Fugacity meter or generator column technique applied. The generator column was set up inside of a climate chamber. After air passes through a mass flow controller, it moves through 2 Florisil traps for purification. The air then enters the octanol saturation bottle held within the climate chamber. The air then flows through a large column containing glass wool coated with 10 mL of octanol solution (3-150 mg/L). The generator column had a diameter of 3 cm, and was 15 cm long. The air continues through a 10 g Florisil trap and a final flow meter. Traps were made of Florisil cartridge with 60-100 mesh. The trap was purified and activiated before being used. Traps are eluted with n-hexane : diethylether mixture (4:1) and blown down to 30 uL. Samples analysed using GCMS in EI mode. Internal standards were labelled PCBs. "
meth0005,ref0005,1,1,0,1,0.75,3,EXP,Dy-GLC-RT,Dy-GLC-RT,Dynamic,"Alkanes, Alkenes, Cyclic, Arenes, Alcohols",dry octanol,KOA,direct,"measured KOA from 20-50 °C, linear equation used to determine KOA for 25 °C",Different volumes of octanol mixture loaded onto column. The intercept of the plot for the net retention volume/loading volume against 1/loading volume is the K value. Method can also be used to calculate the infinite diltuion activity coefficient of compounds in a solvent.
meth0006,ref0006,0,0,0,1,0.25,1,EST,Triangle,QSPR,EST,"Hydrocarbons, PAHs, CBs, Halogenated, Amines, Labelled",wet octanol,KOA,direct,assumed to be for T=25C,"Volatility of chemicals (KWA) noted as ?KW from Hiatt et al. 1995, 67, 4044-4052. and KOW calculated "
meth0007,ref0006,1,0,0,1,0.5,2,EXP,VD/GC/MS,HS,Static,"Hydrocarbons, PAHs, CBs, Halogenated, Amines, Labelled",dry octanol,KAO,direct,assumed to be for T=25C,Spiked sample is placed in a flask and the chamber is evacated. The analyte in the air is traped in a condenser colum then quantified. The the KOA is determined based on the amount of chemical recovered relative to the amount spiked.
meth0008,ref0008,1,1,1,1,1,4,EXP,FM,FM,Dynamic,"PAHs, PCNs",dry octanol,log KOA,direct,KOA measured for 0 to 40 °C; reports log KOA for 25 ° C caluclated using linear regression,Fugacity meter or generator column technique applied. Same method as Harner et al. 1996. PAH concentration in octanol ranged from 0.2 -0.3 g/L. PCN solution contained 3.3. g/L of Halowax 1014. Analysis completed using GC ECD. 
meth0009,ref0009,1,1,1,0,0.75,3,EXP,MR-GC-RT,RT,Indirect,PCBs,dry octanol,KOA,direct,NA,"Similar to Shoeib and Harner 2002 (ref0007), the capacity factors of PCBs on different columns was regressed against the KOA for a set of PCBs with established KOA. Two regression equations one for 25C and one for 0C were used to determine the KOA of other PCBs based on their capacity factor in different GC columns."
meth0010,ref0010,1,1,1,1,1,4,EXP,FM,FM,Dynamic,"PCDD/Fs, PCB",dry octanol,log KOA,direct,"measured KOA from 0 to 50 °C, paper only reports calculated KOA for 25 °C; raw data obtained via email from Tom Harner (Run_1_revised Excel File)","Fugacity meter or generator column technique applied. Same method as Harner et al. 1996. C18 bonded silica used for traps instead of C8. Glass beads used in generator column nstead of glass wool. Analysis completed using GC ECD. During high temperature measurements, there was condensation of octanol in the trap. a small column of activated carbon and silica mix was used to isolate the octanol. 2 mL of hexane used to elute octanol and 30 mL of toluene used to elute PCDD/Fs."
