PropID,DataID,Property,Value,Prop_Type,Prop_refID,Obtained_from,From Org. Paper
prop0001,data000007,log_KOW,6.91,NA,ref0003,"reported in Finizio et al. 1997, originally from Finizio et al. 1997 (Determination of n-octanol/water partition coefficients…)",TRUE
prop0002,data000004,log_KOW,6.91,EXP,ref0026,EXP value,TRUE
prop0003,data000008,log_KOW,6.91,EXP,ref0026,EXP value,TRUE
prop0004,data000011,log_KOW,6.04,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0005,data005556,log_KOW,6.13,NA,ref0032,value from VCCL 2004,TRUE
prop0006,data005558,log_KOW,6.5,NA,ref0032,value from NLM 2004,TRUE
prop0007,data000695,log_KOW,2.55,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0008,data000020,log_KOW,2.729974286,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0009,data000021,log_KOW,2.83,EXP,ref0026,EXP value,TRUE
prop0010,data000206,log_KOW,2.83,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0011,data005552,log_KOW,5.79,NA,ref0032,value from NLM 2004,TRUE
prop0012,data000030,log_KOW,5.91,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0013,data000034,log_KOW,3.72,EXP,ref0026,EXP value,TRUE
prop0014,data000036,log_KOW,3.72,EXP,ref0026,EXP value,TRUE
prop0015,data000035,log_KOW,3.8,NA,ref0003,"reported in Finizio et al. 1997, originally from Finizio et al. 1997 (Determination of n-octanol/water partition coefficients…)",TRUE
prop0016,data000039,log_KOW,0.832508913,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0017,data000040,log_KOW,0.832508913,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0018,data000041,log_KOW,0.89,EXP,ref0026,EXP value,TRUE
prop0019,data000244,log_KOW,0.89,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0020,data000746,log_KOW,1,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0021,data000050,log_KOW,-0.31,EXP,ref0026,EXP value,TRUE
prop0022,data000052,log_KOW,-0.31,EXP,ref0026,EXP value,TRUE
prop0023,data000262,log_KOW,-0.31,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0024,data000796,log_KOW,-0.31,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0025,data000061,log_KOW,-0.17,EXP,ref0026,EXP value,TRUE
prop0026,data000179,log_KOW,-0.17,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0027,data000648,log_KOW,-0.13,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0028,data000828,log_KOW,1.76,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0029,data000066,log_KOW,1.78,EXP,ref0026,EXP value,TRUE
prop0030,data000309,log_KOW,1.78,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0031,data000071,log_KOW,-0.77,EXP,ref0026,EXP value,TRUE
prop0032,data000073,log_KOW,-0.77,EXP,ref0026,EXP value,TRUE
prop0033,data000325,log_KOW,-0.77,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0034,data000863,log_KOW,-0.45,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0035,data000082,log_KOW,0.05,EXP,ref0026,EXP value,TRUE
prop0036,data000084,log_KOW,0.05,EXP,ref0026,EXP value,TRUE
prop0037,data000148,log_KOW,0.05,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0038,data000628,log_KOW,0.16,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0039,data000094,log_KOW,-0.24,EXP,ref0026,EXP value,TRUE
prop0040,data000181,log_KOW,-0.24,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0041,data000652,log_KOW,-0.24,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0042,data000093,log_KOW,-0.22184875,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
