refID,auID
ref0001,Au0104
ref0001,Au0174
ref0002,Au0016
ref0002,Au0104
ref0003,Au0016
ref0003,Au0077
ref0003,Au0104
ref0003,Au0174
ref0004,Au0139
ref0004,Au0181
ref0005,Au0090
ref0005,Au0100
ref0005,Au0146
ref0006,Au0110
ref0007,Au0104
ref0007,Au0250
ref0008,Au0016
ref0008,Au0104
ref0009,Au0107
ref0009,Au0131
ref0009,Au0134
ref0009,Au0136
ref0009,Au0170
ref0009,Au0243
ref0009,Au0331
ref0010,Au0097
ref0010,Au0104
ref0010,Au0125
ref0011,Au0036
ref0011,Au0134
ref0011,Au0221
ref0011,Au0243
ref0011,Au0306
ref0011,Au0334
ref0012,Au0076
ref0013,Au0001
ref0013,Au0002
ref0013,Au0030
ref0013,Au0050
ref0013,Au0150
ref0014,Au0235
ref0014,Au0251
ref0014,Au0270
ref0015,Au0036
ref0015,Au0104
ref0015,Au0134
ref0015,Au0221
ref0015,Au0243
ref0015,Au0299
ref0015,Au0303
ref0016,Au0036
ref0016,Au0134
ref0016,Au0221
ref0016,Au0243
ref0016,Au0303
ref0016,Au0306
ref0017,Au0104
ref0017,Au0250
ref0018,Au0051
ref0018,Au0152
ref0018,Au0258
ref0018,Au0290
ref0019,Au0104
ref0019,Au0152
ref0019,Au0290
ref0020,Au0036
ref0020,Au0104
ref0020,Au0134
ref0020,Au0221
ref0020,Au0243
ref0020,Au0303
ref0021,Au0036
ref0021,Au0134
ref0021,Au0221
ref0021,Au0243
ref0021,Au0303
ref0021,Au0306
ref0022,Au0152
ref0022,Au0173
ref0022,Au0178
ref0022,Au0290
ref0023,Au0009
ref0024,Au0104
ref0024,Au0118
ref0024,Au0129
ref0024,Au0250
ref0025,Au0104
ref0025,Au0174
ref0025,Au0208
ref0026,Au0112
ref0026,Au0184
ref0027,Au0073
ref0027,Au0217
ref0028,Au0035
ref0028,Au0162
ref0028,Au0303
ref0028,Au0327
ref0028,Au0333
ref0029,Au0036
ref0029,Au0114
ref0029,Au0159
ref0029,Au0218
ref0029,Au0325
ref0030,Au0023
ref0030,Au0093
ref0030,Au0104
ref0030,Au0109
ref0030,Au0242
ref0031,Au0032
ref0031,Au0198
ref0031,Au0254
ref0032,Au0033
ref0032,Au0198
ref0032,Au0254
ref0033,Au0098
ref0033,Au0222
ref0033,Au0223
ref0033,Au0240
ref0034,Au0123
ref0034,Au0287
ref0034,Au0301
ref0034,Au0315
ref0034,Au0324
ref0034,Au0337
ref0035,Au0095
ref0035,Au0141
ref0035,Au0206
ref0036,Au0245
ref0036,Au0304
ref0037,Au0289
ref0037,Au0322
ref0037,Au0323
ref0038,Au0064
ref0038,Au0067
ref0038,Au0257
ref0038,Au0264
ref0038,Au0268
ref0039,Au0036
ref0039,Au0080
ref0039,Au0159
ref0039,Au0286
ref0039,Au0314
ref0040,Au0069
ref0040,Au0103
ref0040,Au0137
ref0040,Au0148
ref0040,Au0166
ref0040,Au0261
ref0041,Au0064
ref0041,Au0067
ref0041,Au0147
ref0042,Au0036
ref0042,Au0162
ref0042,Au0220
ref0042,Au0221
ref0042,Au0333
ref0043,Au0167
ref0043,Au0263
ref0043,Au0309
ref0043,Au0326
ref0044,Au0102
ref0044,Au0144
ref0045,Au0036
ref0045,Au0159
ref0045,Au0219
ref0045,Au0220
ref0045,Au0221
ref0045,Au0262
ref0045,Au0329
ref0045,Au0333
ref0046,Au0032
ref0046,Au0198
ref0047,Au0142
ref0047,Au0302
ref0048,Au0164
ref0048,Au0165
ref0048,Au0248
ref0048,Au0288
ref0049,Au0286
ref0049,Au0322
ref0049,Au0330
ref0050,Au0142
ref0050,Au0302
ref0051,Au0084
ref0051,Au0122
ref0051,Au0155
