id,Citation,Year,Type,doi,Title,Team
ref0001,Harner and Mackay 1995,1995,Journal Article,10.1021/es00006a025,"Measurement of octanol-air partition coefficients for chlorobenzenes, PCBs, and DDT",Harner
ref0002,Harner and Bidleman 1996,1996,Journal Article,10.1021/je960097y,Measurements of octanol?air partition coefficients for polychlorinated biphenyls,Harner
ref0003,Finizio et al. 1997,1997,Journal Article,10.1016/S1352-2310(97)00013-7,Octanol-air partition coefficient as a predictor of partitioning of semi-volatile organic chemicals to aerosols,Harner
ref0004,Kömp and McLachlan 1997,1997,Journal Article,10.1002/etc.5620161201,Octanol/air partitioning of polychlorinated biphenyls,Kömp
ref0005,Gruber et al. 1997,1997,Journal Article,10.1021/je9700535,Measurement of activity coefficients at infinite dilution using gas?liquid chromatography. 6. Results for systems exhibiting gas?liquid interface adsorption with 1-octanol,Gmehling
ref0006,Hiatt 1997,1997,Journal Article,10.1021/ac960936j,Analyses of fish tissue by vacuum distillation/gas chromatography/mass spectrometry,Hiatt
ref0007,Shoeib and Harner 2002,2002,Journal Article,10.1021/es020635t,Characterization and Comparison of Three Passive Air Samplers for Persistent Organic Pollutants,Harner
ref0008,Harner and Bidleman 1998,1998,Journal Article,10.1021/je970175x,Measurement of octanol?air partition coefficients for polycyclic aromatic hydrocarbons and polychlorinated naphthalenes,Harner
ref0009,Zhang et al. 1999,1999,Journal Article,10.1021/ac981103r,A method to estimate the octanol?air partition coefficient of semivolatile organic compounds,Schramm
ref0010,Harner et al. 2000,2000,Journal Article,10.1021/es000970m,Measurements of octanol?air partition coefficients for PCDD/Fs:? a tool in assessing air?soil equilibrium status,Harner
ref0011,Chen et al. 2001,2001,Journal Article,10.1007/s00128-001-0073-3,Quantitative structure–property relationships for octanol-air partition coefficients of PCDD/Fs,Chen
ref0012,Ferreira 2001,2001,Journal Article,10.1016/S0045-6535(00)00275-7,Polycyclic aromatic hydrocarbons: a QSPR study,Ferreira
ref0013,Abraham et al. 2001,2001,Journal Article,10.1016/S0045-6535(00)00288-5,The solubility of gases and vapours in dry octan-1-ol at 298 K,Abraham
ref0014,Treves et al. 2001,2001,Journal Article,10.1016/S1352-2310(01)00276-X,Measurement of octanol–air partition coefficients using solid-phase microextraction (SPME)—application to hydroxy alkyl nitrates,Treves
ref0015,Chen et al. 2002a,2002,Journal Article,10.1016/S0048-9697(01)01148-2,"Quantitative relationships between molecular structures, environmental temperatures and octanol–air partition coefficients of PCDD/Fs",Chen
ref0016,Chen et al. 2002b,2002,Journal Article,10.1016/S0045-6535(02)00103-0,Quantitative structure–property relationships for octanol–air partition coefficients of polychlorinated biphenyls,Chen
ref0017,Harner and Shoeib 2002,2002,Journal Article,10.1021/je010192t,Measurements of octanol?air partition coefficients (KOA) for polybrominated diphenyl ethers (PBDEs):? predicting partitioning in the environment,Harner
ref0018,Su et al. 2002,2002,Journal Article,10.1021/je015512n,Determination of octanol?air partition coefficient (KOA) values for chlorobenzenes and polychlorinated naphthalenes from gas chromatographic retention times,Wania
ref0019,Wania et al. 2002,2002,Journal Article,10.1021/ac0256033,Estimating octanol?air partition coefficients of nonpolar semivolatile organic compounds from gas chromatographic retention times,Wania
ref0020,Chen et al. 2003b,2003,Journal Article,10.1016/S1476-9271(02)00089-0,"Quantitative relationships between molecular structures, environmental temperatures and octanol–air partition coefficients of polychlorinated biphenyls",Chen
ref0021,Chen et al. 2003c,2003,Journal Article,10.1016/S0097-8485(02)00017-7,"Quantitative structure-property relationships for octanol–air partition coefficients of polychlorinated naphthalenes, chlorobenzenes and p,p?-DDT",Chen
ref0022,Lei et al. 2004,2004,Journal Article,10.1021/je049949h,"Determination of vapor pressures, octanol?air, and water?air partition coefficients for polyfluorinated sulfonamide, sulfonamidoethanols, and telomer alcohols",Wania
ref0023,Batterman 2002,2002,Journal Article,https://10.1016/S0048-9697(01)00890-7,"Partition coefficients for the trihalomethanes among blood, urine, water, milk and air",Batterman
ref0024,Shoeib et al. 2004,2004,Journal Article,10.1021/es0305555,Indoor and outdoor air concentrations and phase partitioning of perfluoroalkyl sulfonamides and polybrominated diphenyl ethers,Harner
ref0025,Parnis et al. 2015,2015,Journal Article,10.1016/j.atmosenv.2015.03.032,Temperature dependence of Henry's law constants and KOA for simple and heteroatom-substituted PAHs by COSMO-RS,Harner
ref0026,Meylan and Howard 2005,2005,Journal Article,10.1016/j.chemosphere.2005.03.029,Estimating octanol-air partition coefficients with octanol-water partition coefficients and Henry's law constants,Meylan
ref0027,Puzyn and Falandysz 2005,2005,Journal Article,10.1016/j.atmosenv.2004.11.022,Computational estimation of logarithm of n-octanol/air partition coefficient and subcooled vapor pressures of 75 chloronaphthalene congeners,Puzyn
ref0028,Zhao et al. 2005,2005,Journal Article,10.1016/j.chemosphere.2004.12.024,Prediction of octanol-air partition coefficients of semivolatile organic compounds based on molecular connectivity index,Liang
ref0029,Li et al. 2006a,2006,Journal Article,10.1063/1.2203356,The fragment constant method for predicting octanol–air partition coefficients of persistent organic pollutants at different temperatures,Chen
ref0030,Goss et al. 2006,2006,Journal Article,10.1021/es060004p,The partition behavior of fluorotelomer alcohols and olefins,Harner
ref0031,Odabasi et al. 2006a,2006,Journal Article,10.1016/j.chemosphere.2005.05.035,"Henry’s law constant, octanol–air partition coefficient and supercooled liquid vapor pressure of carbazole as a function of temperature: Application to gas/particle partitioning in the atmosphere",Odabasi
ref0032,Odabasi et al. 2006b,2006,Journal Article,10.1016/j.atmosenv.2006.05.051,Determination of octanol–air partition coefficients and supercooled liquid vapor pressures of PAHs as a function of temperature: Application to gas–particle partitioning in an urban atmosphere,Odabasi
ref0033,Raevsky et al. 2006,2006,Journal Article,10.1080/10659360600787742,Physicochemical properties/descriptors governing the solubility and partitioning of chemicals in water-solvent-gas systems. Part 1. Partitioning between octanol and air,Raevsky
